更新时间,#genre#
2024-11-02 12:45:27,url

央视频道,#genre#:
CCTV1,http://113.240.138.118:8888/udp/239.76.246.151:1234
CCTV1,http://223.145.224.22:8000/udp/239.76.246.151:1234
CCTV1,http://113.240.138.118:8888/udp/239.76.253.151:9000
CCTV1,http://223.145.224.174:8000/udp/239.76.246.151:1234
CCTV1,http://223.145.224.22:8000/udp/239.76.253.151:9000
CCTV1,http://223.145.224.174:8000/udp/239.76.253.151:9000
CCTV1,http://124.230.56.126:55555/udp/239.76.253.151:9000
CCTV1,http://110.53.218.182:9902udp://@238.0.0.1:8001
CCTV1,http://124.230.56.126:55555/udp/239.76.246.151:1234
CCTV1,http://124.230.56.126:55555/udp/239.76.245.51:1234
CCTV1,http://113.240.138.118:8888/udp/239.76.245.51:1234
CCTV1,http://223.145.224.22:8000/udp/239.76.245.51:1234
CCTV1,http://223.145.224.174:8000/udp/239.76.245.51:1234
CCTV2,http://113.240.138.118:8888/udp/239.76.246.152:1234
CCTV2,http://113.240.138.118:8888/udp/239.76.253.152:9000
CCTV2,http://223.145.224.174:8000/udp/239.76.253.152:9000
CCTV2,http://223.145.224.22:8000/udp/239.76.246.152:1234
CCTV2,http://223.145.224.22:8000/udp/239.76.253.152:9000
CCTV2,http://223.145.224.174:8000/udp/239.76.246.152:1234
CCTV2,http://124.230.56.126:55555/udp/239.76.246.152:1234
CCTV2,http://124.230.56.126:55555/udp/239.76.253.152:9000
CCTV2,http://110.53.218.182:9902udp://@238.0.0.1:8002
CCTV3,http://223.145.224.22:8000/udp/239.76.246.153:1234
CCTV3,http://113.240.138.118:8888/udp/239.76.253.153:9000
CCTV3,http://113.240.138.118:8888/udp/239.76.246.153:1234
CCTV3,http://223.145.224.22:8000/udp/239.76.253.153:9000
CCTV3,http://223.145.224.174:8000/udp/239.76.246.153:1234
CCTV3,http://223.145.224.174:8000/udp/239.76.253.153:9000
CCTV3,http://124.230.56.126:55555/udp/239.76.253.153:9000
CCTV3,http://124.230.56.126:55555/udp/239.76.246.153:1234
CCTV3,http://110.53.218.182:9902udp://@238.0.0.1:8003
CCTV4,http://113.240.138.118:8888/udp/239.76.253.154:9000
CCTV4,http://223.145.224.174:8000/udp/239.76.245.195:1234
CCTV4,http://223.145.224.22:8000/udp/239.76.246.154:1234
CCTV4,http://223.145.224.174:8000/udp/239.76.246.154:1234
CCTV4,http://113.240.138.118:8888/udp/239.76.246.154:1234
CCTV4,http://223.145.224.22:8000/udp/239.76.245.195:1234
CCTV4,http://113.240.138.118:8888/udp/239.76.245.195:1234
CCTV4,http://223.145.224.174:8000/udp/239.76.253.154:9000
CCTV4,http://223.145.224.22:8000/udp/239.76.253.154:9000
CCTV4,http://124.230.56.126:55555/udp/239.76.253.154:9000
CCTV4,http://124.230.56.126:55555/udp/239.76.246.154:1234
CCTV4,http://124.230.56.126:55555/udp/239.76.245.195:1234
CCTV4,http://110.53.218.182:9902udp://@238.0.0.1:8004
CCTV4欧洲,http://113.240.138.118:8888/udp/239.76.253.95:9000
CCTV4欧洲,http://223.145.224.22:8000/udp/239.76.253.95:9000
CCTV4欧洲,http://113.240.138.118:8888/udp/239.76.246.95:1234
CCTV4欧洲,http://124.230.56.126:55555/udp/239.76.246.95:1234
CCTV4欧洲,http://223.145.224.174:8000/udp/239.76.246.95:1234
CCTV4欧洲,http://223.145.224.174:8000/udp/239.76.253.95:9000
CCTV4欧洲,http://223.145.224.22:8000/udp/239.76.246.95:1234
CCTV4欧洲,http://124.230.56.126:55555/udp/239.76.253.95:9000
CCTV4美洲,http://113.240.138.118:8888/udp/239.76.253.96:9000
CCTV4美洲,http://113.240.138.118:8888/udp/239.76.246.96:1234
CCTV4美洲,http://223.145.224.22:8000/udp/239.76.246.96:1234
CCTV4美洲,http://223.145.224.174:8000/udp/239.76.253.96:9000
CCTV4美洲,http://223.145.224.174:8000/udp/239.76.246.96:1234
CCTV4美洲,http://223.145.224.22:8000/udp/239.76.253.96:9000
CCTV4美洲,http://124.230.56.126:55555/udp/239.76.253.96:9000
CCTV4美洲,http://124.230.56.126:55555/udp/239.76.246.96:1234
CCTV5,http://113.240.138.118:8888/udp/239.76.246.155:1234
CCTV5,http://113.240.138.118:8888/udp/239.76.253.155:9000
CCTV5,http://223.145.224.22:8000/udp/239.76.246.155:1234
CCTV5,http://223.145.224.22:8000/udp/239.76.253.155:9000
CCTV5,http://223.145.224.174:8000/udp/239.76.253.155:9000
CCTV5,http://124.230.56.126:55555/udp/239.76.253.155:9000
CCTV5,http://223.145.224.174:8000/udp/239.76.246.155:1234
CCTV5,http://110.53.218.182:9902udp://@238.0.0.1:8005
CCTV5,http://124.230.56.126:55555/udp/239.76.246.155:1234
CCTV5+hd,http://223.145.224.22:8000/udp/239.76.246.168:1234
CCTV5+hd,http://113.240.138.118:8888/udp/239.76.246.168:1234
CCTV5+hd,http://113.240.138.118:8888/udp/239.76.253.168:9000
CCTV5+hd,http://223.145.224.22:8000/udp/239.76.253.168:9000
CCTV5+hd,http://124.230.56.126:55555/udp/239.76.246.168:1234
CCTV5+hd,http://223.145.224.174:8000/udp/239.76.253.168:9000
CCTV5+hd,http://223.145.224.174:8000/udp/239.76.246.168:1234
CCTV5+hd,http://124.230.56.126:55555/udp/239.76.253.168:9000
CCTV6,http://113.240.138.118:8888/udp/239.76.253.156:9000
CCTV6,http://223.145.224.22:8000/udp/239.76.246.156:1234
CCTV6,http://113.240.138.118:8888/udp/239.76.246.156:1234
CCTV6,http://223.145.224.22:8000/udp/239.76.253.156:9000
CCTV6,http://223.145.224.174:8000/udp/239.76.253.156:9000
CCTV6,http://223.145.224.174:8000/udp/239.76.246.156:1234
CCTV6,http://124.230.56.126:55555/udp/239.76.253.156:9000
CCTV6,http://110.53.218.182:9902udp://@238.0.0.1:8006
CCTV6,http://124.230.56.126:55555/udp/239.76.246.156:1234
CCTV7,http://113.240.138.118:8888/udp/239.76.246.157:1234
CCTV7,http://113.240.138.118:8888/udp/239.76.253.157:9000
