央卫频道,#genre#
CCTV1,http://120.79.4.185/md0422.php?id=cctv1
CCTV2,http://120.79.4.185/md0422.php?id=cctv2
CCTV3,http://120.79.4.185/md0422.php?id=cctv3
CCTV4,http://120.79.4.185/md0422.php?id=cctv4
CCTV5,http://120.79.4.185/md0422.php?id=cctv5
CCTV5+,http://120.79.4.185/md0422.php?id=cctv5p
CCTV6,http://120.79.4.185/md0422.php?id=cctv6
CCTV7,http://120.79.4.185/md0422.php?id=cctv7
CCTV8,http://120.79.4.185/md0422.php?id=cctv8
CCTV9,http://120.79.4.185/md0422.php?id=cctv9
CCTV10,http://120.79.4.185/md0422.php?id=cctv10
CCTV11,http://120.79.4.185/md0422.php?id=cctv11
CCTV12,http://120.79.4.185/md0422.php?id=cctv12
CCTV13,http://120.79.4.185/md0422.php?id=cctv13
CCTV14,http://120.79.4.185/md0422.php?id=cctv14
CCTV15,http://120.79.4.185/md0422.php?id=cctv15
CCTV16,http://120.79.4.185/md0422.php?id=cctv16
CCTV16,http://120.79.4.185/md0422.php?id=cctv16-4k
CCTV17,http://120.79.4.185/md0422.php?id=cctv17
CCTV4k,http://120.79.4.185/md0422.php?id=cctv4k
CCTV8K,http://120.79.4.185/md0422.php?id=cctv8k

CCTV兵器科技,http://120.79.4.185/md0422.php?id=bqkj
CCTV第一剧场,http://120.79.4.185/md0422.php?id=dyjc
CCTV怀旧剧场,http://120.79.4.185/md0422.php?id=hjjc
CCTV风云剧场,http://120.79.4.185/md0422.php?id=fyjc
CCTV风云音乐,http://120.79.4.185/md0422.php?id=fyyy
CCTV风云足球,http://120.79.4.185/md0422.php?id=fyzq
CCTV电视指南,http://120.79.4.185/md0422.php?id=dszn
CCTV女性时尚,http://120.79.4.185/md0422.php?id=nxss
CCTV央视精品,http://120.79.4.185/md0422.php?id=whjp
CCTV世界地理,http://120.79.4.185/md0422.php?id=sjdl
CCTV高网频道,http://120.79.4.185/md0422.php?id=gefwq
CCTV央视台球,http://120.79.4.185/md0422.php?id=ystq
CCTV卫生健康,http://120.79.4.185/md0422.php?id=wsjk

北京卫视,http://120.79.4.185/md0422.php?id=bjws
东方卫视,http://120.79.4.185/md0422.php?id=dfws
天津卫视,http://120.79.4.185/md0422.php?id=tjws
重庆卫视,http://120.79.4.185/md0422.php?id=cqws
黑龙江卫视,http://120.79.4.185/md0422.php?id=hljws
辽宁卫视,http://120.79.4.185/md0422.php?id=lnws
河北卫视,http://120.79.4.185/md0422.php?id=hbws
山东卫视,http://120.79.4.185/md0422.php?id=sdws
安徽卫视,http://120.79.4.185/md0422.php?id=ahws
河南卫视,http://120.79.4.185/md0422.php?id=hnws
湖南卫视,http://120.79.4.185/md0422.php?id=hunws
江西卫视,http://120.79.4.185/md0422.php?id=jxws
江苏卫视,http://120.79.4.185/md0422.php?id=jsws
浙江卫视,http://120.79.4.185/md0422.php?id=zjws
东南卫视,http://120.79.4.185/md0422.php?id=dnws
广东卫视,http://120.79.4.185/md0422.php?id=gdws
深圳卫视,http://120.79.4.185/md0422.php?id=szws
广西卫视,http://120.79.4.185/md0422.php?id=gxws
贵州卫视,http://120.79.4.185/md0422.php?id=gzws
四川卫视,http://120.79.4.185/md0422.php?id=scws
新疆卫视,http://120.79.4.185/md0422.php?id=xjws
海南卫视,http://120.79.4.185/md0422.php?id=hinws
