广东联通,#genre#
CCTV-1,http://58.248.112.203:8006/GD_CUCC/G_CCTV-1-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea5OhGkcA%2Brc2mwukJ0EiwkmgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
CCTV-2,http://58.248.112.203:8006/GD_CUCC/G_CCTV-2-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea52fbwLZxfhaPFyBTQ0aYLegJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
CCTV-3,http://58.248.112.203:8006/GD_CUCC/G_CCTV-3-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2F567V4gicCTqgy0kQbqaLSgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
CCTV-4,http://58.248.112.203:8006/GD_CUCC/G_CCTV-4-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea7mIftL5ADVaMv%2BqoZbdVZagJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
CCTV-5,http://58.248.112.203:8006/GD_CUCC/G_CCTV-5-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2B0XMAN3IWaF%2Ft9%2Bz4m245KgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
CCTV-5+,http://58.248.112.203:8006/GD_CUCC/G_CCTV-5PLUS-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea4dR%2FXUke9cnQAha7YFSVSclMCmMqRWhdsE4YvZm6QC%2B&p=GITV&area=GD_CUCC&gMac=
CCTV-6,http://58.248.112.203:8006/GD_CUCC/G_CCTV-6-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6TVxs%2BlBwOFAoU1YqR613qgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
CCTV-7,http://58.248.112.203:8006/GD_CUCC/G_CCTV-7-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea2NFX%2B72vyM4b6NUtv00Xa6gJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
CCTV-8,http://58.248.112.203:8006/GD_CUCC/G_CCTV-8-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea1P40uefRLwdhaOhRmmXa4ugJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
CCTV-9,http://58.248.112.203:8006/GD_CUCC/G_CCTV-9-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea3d4G81Hv01jBHd04Vr2AA%2BgJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
CCTV-10,http://58.248.112.203:8006/GD_CUCC/G_CCTV-10-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea0sd9mij0JyOcibqYTdmWtJISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
CCTV-11,http://58.248.112.203:8006/GD_CUCC/G_CCTV-11-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Eawtjk7PDi4fkN2nvO2gK27tISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
CCTV-12,http://58.248.112.203:8006/GD_CUCC/G_CCTV-12-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6EaxtFGgShYCQQqFHAFhzmlepISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
CCTV-13,http://58.248.112.203:8006/GD_CUCC/G_CCTV-13-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2BUi4Thb7vkXG9wotcNmK%2FRISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
CCTV-14,http://58.248.112.203:8006/GD_CUCC/G_CCTV-14-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea844kHEGXWPeTdip0KbSgbdISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
CCTV-15,http://58.248.112.203:8006/GD_CUCC/G_CCTV-15-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea4yPYgkCWBSIT3aCcBdsAjtISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
CCTV-16,http://58.248.112.203:8006/GD_CUCC/G_CCTV-16-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea1SIaGkZ%2BPhCYgvTlbbof9dISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
CCTV-17,http://58.248.112.203:8006/GD_CUCC/G_CCTV-17-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2FlsNSUvoRXJq9Dxabd45ulISQzITH4I%2BZQi9zuDSwuF&p=GITV&area=GD_CUCC&gMac=
CCTV-NEWS,http://58.248.112.203:8006/GD_CUCC/G_CCTV-NEWS.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea6pfmi7R%2FnXWIa8FxOyVIxugJVFqpKg19H8iAavd6LJK&p=GITV&area=GD_CUCC&gMac=
广东卫视,http://58.248.112.203:8006/GD_CUCC/G_GUANGDONG-CQ.m3u8?Authinfo=YOo4knsDZ3M1POLztu6Ea%2FgbSbSCTYnboG1IAsnN%2B8Ti5snZ13AcZqNVEK32DFHT&p=GITV&area=GD_CUCC&gMac=
