广东银河,#genre#
袋鼠-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-101.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQtBGb9kpLtb%2FB84cUeTyRCVFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
长颈鹿-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-201.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQn6j%2BeKBJmJKbJ3ZVY7jnzdFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
孔雀-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-301.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQh0Glz7FpS1iV0FtCE%2BU%2Bl9FZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
火烈鸟-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-401.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQlEACjoGKgoF4X3tFtxxunBFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
老虎-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-501.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQmL8r9mwRKhmSxTlG4R7%2FVNFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
黑熊-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-601.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQlaPyygcLH%2BPKX92%2BBctTPdFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
大象-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-102.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQl7xfhhJc%2BjIcgcGLq2mMRlFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=
斑马-云游动物园,http://58.248.112.203:8006/GD_CUCC/G_ZOO-801.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQhSYP9SEhfVI3xyOkI74EXRFZ5GSVzvNW0BfdeXrc5lx&p=GITV&area=GD_CUCC&gMac=


央视频道,#genre#
CCTV-1,http://58.248.112.203:8006/GD_CUCC/G_CCTV-1-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQpOhGkcA%2Brc2mwukJ0EiwkkE6YYMdFcJ%2FMvMgyeu%2FiXZ&p=GITV&area=GD_CUCC&gMac=
CCTV-2,http://58.248.112.203:8006/GD_CUCC/G_CCTV-2-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQp2fbwLZxfhaPFyBTQ0aYLcE6YYMdFcJ%2FMvMgyeu%2FiXZ&p=GITV&area=GD_CUCC&gMac=
CCTV-3,http://58.248.112.203:8006/GD_CUCC/G_CCTV-3-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQv567V4gicCTqgy0kQbqaLQE6YYMdFcJ%2FMvMgyeu%2FiXZ&p=GITV&area=GD_CUCC&gMac=
CCTV-4,http://58.248.112.203:8006/GD_CUCC/G_CCTV-4-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQrmIftL5ADVaMv%2BqoZbdVZYE6YYMdFcJ%2FMvMgyeu%2FiXZ&p=GITV&area=GD_CUCC&gMac=
CCTV-5,http://58.248.112.203:8006/GD_CUCC/G_CCTV-5-CQ.m3u8?Authinfo=QmEf1mrTNujka56TPb7bQu0XMAN3IWaF%2Ft9%2Bz4m245IE6YYMdFcJ%2FMvMgyeu%2FiXZ&p=GITV&area=GD_CUCC&gMac=
