更新时间,#genre#
2024-12-03 14:18:17,url
央视频道,#genre#:
CCTV1,http://115.48.60.123:9901/tsfile/live/0001_1.m3u8
CCTV1,http://58.216.229.130:9901/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.61.209:9901/tsfile/live/0001_1.m3u8
CCTV1,http://120.0.52.162:8086/tsfile/live/0001_1.m3u8
CCTV1,http://222.241.154.37:9901/tsfile/live/23001_1.m3u8
CCTV1,http://115.48.60.30:9901/tsfile/live/0001_1.m3u8
CCTV1,http://121.33.239.242:9901/tsfile/live/0001_1.m3u8
CCTV1,http://222.218.158.198:8181/tsfile/live/0001_1.m3u8
CCTV1,http://115.48.61.177:9901/tsfile/live/0001_1.m3u8
CCTV1,http://202.100.46.58:9901/tsfile/live/1000_1.m3u8
CCTV2,http://115.48.60.123:9901/tsfile/live/0002_1.m3u8
CCTV2,http://58.216.229.130:9901/tsfile/live/0002_1.m3u8
CCTV2,http://115.48.60.30:9901/tsfile/live/0002_1.m3u8
CCTV2,http://223.166.234.19:7777/tsfile/live/0002_1.m3u8
CCTV2,http://115.48.60.166:9901/tsfile/live/0002_1.m3u8
CCTV2,http://121.33.239.242:9901/tsfile/live/0002_1.m3u8
CCTV2,http://120.0.52.162:8086/tsfile/live/0002_1.m3u8
CCTV2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8
CCTV2,http://222.134.245.16:9901/tsfile/live/0002_1.m3u8
CCTV2,http://222.218.158.198:8181/tsfile/live/0002_1.m3u8
CCTV3,http://42.49.148.233:9901/tsfile/live/0003_1.m3u8
CCTV3,http://115.48.60.123:9901/tsfile/live/0003_1.m3u8
CCTV3,http://124.231.215.102:9999/tsfile/live/0003_1.m3u8
CCTV3,http://58.216.229.130:9901/tsfile/live/0003_1.m3u8
CCTV3,http://115.48.60.30:9901/tsfile/live/0003_1.m3u8
CCTV3,http://115.48.60.166:9901/tsfile/live/0003_1.m3u8
CCTV3,http://120.0.52.162:8086/tsfile/live/0003_1.m3u8
CCTV3,http://115.48.61.177:9901/tsfile/live/0003_1.m3u8
CCTV3,http://222.218.158.198:8181/tsfile/live/0003_1.m3u8
CCTV3,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8
CCTV4,http://115.48.60.123:9901/tsfile/live/0004_1.m3u8
CCTV4,http://121.33.239.242:9901/tsfile/live/0004_1.m3u8
CCTV4,http://123.138.22.30:9901/tsfile/live/0004_1.m3u8
CCTV4,http://222.218.158.198:8181/tsfile/live/0004_1.m3u8
CCTV4,http://222.241.154.37:9901/tsfile/live/23004_1.m3u8
CCTV4,http://223.166.234.19:7777/tsfile/live/0004_1.m3u8
CCTV4,http://222.134.245.16:9901/tsfile/live/0004_1.m3u8
CCTV4,http://124.231.215.102:9999/tsfile/live/0004_1.m3u8
CCTV4,http://115.48.61.209:9901/tsfile/live/0004_1.m3u8
CCTV4,http://115.48.61.177:9901/tsfile/live/0004_1.m3u8
CCTV5,http://115.48.60.123:9901/tsfile/live/0005_1.m3u8
CCTV5,http://42.49.148.233:9901/tsfile/live/0005_1.m3u8
CCTV5,http://115.48.61.209:9901/tsfile/live/0005_1.m3u8
CCTV5,http://123.138.22.30:9901/tsfile/live/0005_1.m3u8
CCTV5,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8
CCTV5,http://222.218.158.198:8181/tsfile/live/0005_1.m3u8
CCTV5,http://121.33.239.242:9901/tsfile/live/0005_1.m3u8
CCTV5,http://222.241.154.37:9901/tsfile/live/23005_1.m3u8
CCTV5,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8
CCTV5,http://222.134.245.16:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8
CCTV5+,http://120.0.52.162:8086/tsfile/live/0016_1.m3u8
CCTV5+,http://222.218.158.198:8181/tsfile/live/0016_1.m3u8
CCTV5+,http://119.163.199.98:9901/tsfile/live/0016_2.m3u8
CCTV5+,http://119.36.148.115:59901/tsfile/live/1003_1.m3u8
CCTV5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://117.27.190.42:9998/tsfile/live/23248_1.m3u8
CCTV5+,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8
CCTV5+,http://124.231.215.102:9999/tsfile/live/1114_1.m3u8
CCTV5+,http://59.173.183.242:9901/tsfile/live/0018_1.m3u8
CCTV6,http://42.49.148.233:9901/tsfile/live/0006_1.m3u8
CCTV6,http://58.216.229.130:9901/tsfile/live/0006_1.m3u8
CCTV6,http://119.163.199.98:9901/tsfile/live/0006_1.m3u8
CCTV6,http://115.48.60.123:9901/tsfile/live/0006_1.m3u8
CCTV6,http://222.241.154.37:9901/tsfile/live/23006_1.m3u8
CCTV6,http://223.166.234.19:7777/tsfile/live/0006_1.m3u8
CCTV6,http://222.218.158.198:8181/tsfile/live/0006_1.m3u8
CCTV6,http://121.33.239.242:9901/tsfile/live/0006_1.m3u8
CCTV6,http://222.134.245.16:9901/tsfile/live/0006_1.m3u8
CCTV6,http://119.36.148.115:59901/tsfile/live/0006_1.m3u8
CCTV7,http://58.216.229.130:9901/tsfile/live/0007_1.m3u8
