联通专网,#genre#
CCTV1,http://175.164.178.124:8999/udp/232.0.0.27:1234
CCTV1,http://119.118.80.246:4022/udp/232.0.0.27:1234
CCTV1,http://61.176.2.201:6000/udp/232.0.0.27:1234
CCTV2,http://175.164.178.124:8999/udp/232.0.0.135:1234
CCTV2,http://119.118.80.246:4022/udp/232.0.0.135:1234
CCTV2,http://61.176.2.201:6000/udp/232.0.0.135:1234
CCTV3,http://175.164.178.124:8999/udp/232.0.0.170:1234
CCTV3,http://119.118.80.246:4022/udp/232.0.0.170:1234
CCTV3,http://61.176.2.201:6000/udp/232.0.0.170:1234
CCTV4,http://175.164.178.124:8999/udp/232.0.0.201:1234
CCTV4欧洲,http://175.164.178.124:8999/udp/232.0.0.53:1234
CCTV4美洲,http://175.164.178.124:8999/udp/232.0.0.59:1234
CCTV4,http://119.118.80.246:4022/udp/232.0.0.201:1234
CCTV4欧洲,http://119.118.80.246:4022/udp/232.0.0.53:1234
CCTV4美洲,http://119.118.80.246:4022/udp/232.0.0.59:1234
CCTV4,http://61.176.2.201:6000/udp/232.0.0.201:1234
CCTV4欧洲,http://61.176.2.201:6000/udp/232.0.0.53:1234
CCTV4美洲,http://61.176.2.201:6000/udp/232.0.0.59:1234
CCTV5,http://175.164.178.124:8999/udp/232.0.0.171:1234
CCTV5+,http://175.164.178.124:8999/udp/232.0.0.93:1234
CCTV5,http://119.118.80.246:4022/udp/232.0.0.171:1234
CCTV5+,http://119.118.80.246:4022/udp/232.0.0.93:1234
CCTV5,http://61.176.2.201:6000/udp/232.0.0.171:1234
CCTV5+,http://61.176.2.201:6000/udp/232.0.0.93:1234
CCTV6,http://175.164.178.124:8999/udp/232.0.0.172:1234
CCTV6,http://119.118.80.246:4022/udp/232.0.0.172:1234
CCTV6,http://61.176.2.201:6000/udp/232.0.0.172:1234
CCTV7,http://175.164.178.124:8999/udp/232.0.0.136:1234
CCTV7,http://119.118.80.246:4022/udp/232.0.0.136:1234
CCTV7,http://61.176.2.201:6000/udp/232.0.0.136:1234
CCTV8,http://175.164.178.124:8999/udp/232.0.0.173:1234
CCTV8,http://119.118.80.246:4022/udp/232.0.0.173:1234
CCTV8,http://61.176.2.201:6000/udp/232.0.0.173:1234
CCTV9,http://175.164.178.124:8999/udp/232.0.0.137:1234
CCTV9,http://119.118.80.246:4022/udp/232.0.0.137:1234
CCTV9,http://61.176.2.201:6000/udp/232.0.0.137:1234
CCTV10,http://175.164.178.124:8999/udp/232.0.0.138:1234
CCTV10,http://119.118.80.246:4022/udp/232.0.0.138:1234
CCTV10,http://61.176.2.201:6000/udp/232.0.0.138:1234
CCTV11,http://175.164.178.124:8999/udp/232.0.0.178:1234
CCTV11,http://119.118.80.246:4022/udp/232.0.0.178:1234
CCTV11,http://61.176.2.201:6000/udp/232.0.0.178:1234
CCTV12,http://175.164.178.124:8999/udp/232.0.0.139:1234
CCTV12,http://119.118.80.246:4022/udp/232.0.0.139:1234
CCTV12,http://61.176.2.201:6000/udp/232.0.0.139:1234
CCTV13,http://175.164.178.124:8999/udp/232.0.0.15:1234
CCTV13,http://119.118.80.246:4022/udp/232.0.0.15:1234
CCTV13,http://61.176.2.201:6000/udp/232.0.0.15:1234
CCTV14,http://175.164.178.124:8999/udp/232.0.0.140:1234
CCTV14,http://119.118.80.246:4022/udp/232.0.0.140:1234
CCTV14,http://61.176.2.201:6000/udp/232.0.0.140:1234
CCTV15,http://175.164.178.124:8999/udp/232.0.0.179:1234
CCTV15,http://119.118.80.246:4022/udp/232.0.0.179:1234
CCTV15,http://61.176.2.201:6000/udp/232.0.0.179:1234
CCTV16,http://175.164.178.124:8999/udp/232.0.0.182:1234
CCTV16,http://119.118.80.246:4022/udp/232.0.0.182:1234
CCTV16,http://61.176.2.201:6000/udp/232.0.0.182:1234
CCTV17,http://175.164.178.124:8999/udp/232.0.0.230:1234
CCTV17,http://119.118.80.246:4022/udp/232.0.0.230:1234
CCTV17,http://http://61.176.2.201:6000/udp/232.0.0.230:1234
CCTV第一剧场,http://175.164.178.124:8999/udp/232.0.0.29:1234
CCTV怀旧剧场,http://175.164.178.124:8999/udp/232.0.0.38:1234
CCTV风云剧场,http://175.164.178.124:8999/udp/232.0.0.45:1234
CCTV风云足球,http://175.164.178.124:8999/udp/232.0.0.52:1234
CCTV风云音乐,http://175.164.178.124:8999/udp/232.0.0.47:1234
CCTV央视台球,http://175.164.178.124:8999/udp/232.0.0.60:1234
CCTV央视文化精品,http://175.164.178.124:8999/udp/232.0.0.56:1234
