联通专网,#genre#
CCTV1,http://42.48.17.188:9901/tsfile/live/37201_1.m3u8?key=txiptv
CCTV2,http://42.48.17.188:9901/tsfile/live/37202_1.m3u8?key=txiptv
CCTV3,http://42.48.17.188:9901/tsfile/live/37203_1.m3u8?key=txiptv
CCTV4,http://42.48.17.188:9901/tsfile/live/37204_1.m3u8?key=txiptv
CCTV5,http://42.48.17.188:9901/tsfile/live/37205_1.m3u8?key=txiptv
CCTV6,http://42.48.17.188:9901/tsfile/live/37206_1.m3u8?key=txiptv
CCTV7,http://42.48.17.188:9901/tsfile/live/37207_1.m3u8?key=txiptv
CCTV8,http://42.48.17.188:9901/tsfile/live/37208_1.m3u8?key=txiptv
CCTV9,http://42.48.17.188:9901/tsfile/live/37209_1.m3u8?key=txiptv
CCTV10,http://42.48.17.188:9901/tsfile/live/37210_1.m3u8?key=txiptv
CCTV11,http://42.48.17.188:9901/tsfile/live/37211_1.m3u8?key=txiptv
CCTV12,http://42.48.17.188:9901/tsfile/live/37212_1.m3u8?key=txiptv
CCTV13,http://42.48.17.188:9901/tsfile/live/37213_1.m3u8?key=txiptv
CCTV14,http://42.48.17.188:9901/tsfile/live/37214_1.m3u8?key=txiptv
CCTV15,http://42.48.17.188:9901/tsfile/live/37215_1.m3u8?key=txiptv
湖南卫视,http://42.48.17.188:9901/tsfile/live/37216_1.m3u8?key=txiptv
湖南经视,http://42.48.17.188:9901/tsfile/live/37217_1.m3u8?key=txiptv
湖南都市,http://42.48.17.188:9901/tsfile/live/37218_1.m3u8?key=txiptv
湖南电视剧,http://42.48.17.188:9901/tsfile/live/37219_1.m3u8?key=txiptv
湖南电影,http://42.48.17.188:9901/tsfile/live/37220_1.m3u8?key=txiptv
湖南娱乐,http://42.48.17.188:9901/tsfile/live/37221_1.m3u8?key=txiptv
湖南金鹰卡通,http://42.48.17.188:9901/tsfile/live/37222_1.m3u8?key=txiptv
湖南教育,http://42.48.17.188:9901/tsfile/live/37223_1.m3u8?key=txiptv
CETV4,http://42.48.17.188:9901/tsfile/live/37224_1.m3u8?key=txiptv
江苏卫视,http://42.48.17.188:9901/tsfile/live/37225_1.m3u8?key=txiptv
河南卫视,http://42.48.17.188:9901/tsfile/live/37226_1.m3u8?key=txiptv
海南卫视,http://42.48.17.188:9901/tsfile/live/37227_1.m3u8?key=txiptv
四川卫视,http://42.48.17.188:9901/tsfile/live/37228_1.m3u8?key=txiptv
湖南国际,http://42.48.17.188:9901/tsfile/live/37229_1.m3u8?key=txiptv
CHC动作电影,http://42.48.17.188:9901/tsfile/live/37230_1.m3u8?key=txiptv
CHC高清电影,http://42.48.17.188:9901/tsfile/live/37231_1.m3u8?key=txiptv
CHC家庭影院,http://42.48.17.188:9901/tsfile/live/37232_1.m3u8?key=txiptv

湖南卫视,http://110.53.21.30:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南都市,http://110.53.21.30:9901/tsfile/live/1000_1.m3u8?key=txiptv
湖南娱乐,http://110.53.21.30:9901/tsfile/live/1004_1.m3u8?key=txiptv
湖南经视,http://110.53.21.30:9901/tsfile/live/1011_1.m3u8?key=txiptv
湖南公共,http://110.53.21.30:9901/tsfile/live/1001_1.m3u8?key=txiptv
湖南电影,http://110.53.21.30:9901/tsfile/live/1003_1.m3u8?key=txiptv
湖南电视剧,http://110.53.21.30:9901/tsfile/live/1005_1.m3u8?key=txiptv
金鹰纪实,http://110.53.21.30:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV5,http://110.53.21.30:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV6,http://110.53.21.30:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://110.53.21.30:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://110.53.21.30:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://110.53.21.30:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://110.53.21.30:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://110.53.21.30:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://110.53.21.30:9901/tsfile/live/0012_1.m3u8?key=txiptv
浙江卫视,http://110.53.21.30:9901/tsfile/live/0124_1.m3u8?key=txiptv
江苏卫视,http://110.53.21.30:9901/tsfile/live/0127_1.m3u8?key=txiptv
山东卫视,http://110.53.21.30:9901/tsfile/live/0131_1.m3u8?key=txiptv
深圳卫视,http://110.53.21.30:9901/tsfile/live/0126_1.m3u8?key=txiptv
高清院线,http://110.53.21.30:9901/tsfile/live/1009_1.m3u8?key=txiptv
抗战剧场,http://110.53.21.30:9901/tsfile/live/1010_1.m3u8?key=txiptv
古装剧场,http://110.53.21.30:9901/tsfile/live/1012_1.m3u8?key=txiptv
家庭剧场,http://110.53.21.30:9901/tsfile/live/1013_1.m3u8?key=txiptv
经典剧场,http://110.53.21.30:9901/tsfile/live/1014_1.m3u8?key=txiptv
CHC家庭影院,http://110.53.21.30:9901/tsfile/live/1015_1.m3u8?key=txiptv
CHC高清电影,http://110.53.21.30:9901/tsfile/live/1016_1.m3u8?key=txiptv
CHC动作影院,http://110.53.21.30:9901/tsfile/live/1017_1.m3u8?key=txiptv
湖南金鹰卡通,http://110.53.21.30:9901/tsfile/live/1008_1.m3u8?key=txiptv
优漫卡通,http://110.53.21.30:9901/tsfile/live/1018_1.m3u8?key=txiptv
优优宝贝,http://110.53.21.30:9901/tsfile/live/1019_1.m3u8?key=txiptv
安徽卫视,http://110.53.21.30:9901/tsfile/live/1020_1.m3u8?key=txiptv

CCTV1,http://iptvcyp.top:9901/tsfile/live/1000_1.m3u8?key=txiptv
CCTV2,http://iptvcyp.top:9901/tsfile/live/1001_1.m3u8?key=txiptv
CCTV3,http://iptvcyp.top:9901/tsfile/live/faacts/1002_1.m3u8?key=txiptv
CCTV4,http://iptvcyp.top:9901/tsfile/live/1003_1.m3u8?key=txiptv
CCTV5,http://iptvcyp.top:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV6,http://iptvcyp.top:9901/tsfile/live/faacts/1005_1.m3u8?key=txiptv
CCTV7,http://iptvcyp.top:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV8,http://iptvcyp.top:9901/tsfile/live/faacts/1007_1.m3u8?key=txiptv
CCTV9,http://iptvcyp.top:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV10,http://iptvcyp.top:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV11,http://iptvcyp.top:9901/tsfile/live/1010_1.m3u8?key=txiptv
CCTV12,http://iptvcyp.top:9901/tsfile/live/1011_1.m3u8?key=txiptv
CCTV13,http://iptvcyp.top:9901/tsfile/live/1012_1.m3u8?key=txiptv
CCTV14,http://iptvcyp.top:9901/tsfile/live/1013_1.m3u8?key=txiptv
CCTV15,http://iptvcyp.top:9901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV16,http://iptvcyp.top:9901/tsfile/live/1015_1.m3u8?key=txiptv
CCTV17,http://iptvcyp.top:9901/tsfile/live/1016_1.m3u8?key=txiptv
邵阳县电视台,http://iptvcyp.top:9901/tsfile/live/1017_1.m3u8?key=txiptv
邵阳公共频道,http://iptvcyp.top:9901/tsfile/live/1018_1.m3u8?key=txiptv
邵阳新闻频道,http://iptvcyp.top:9901/tsfile/live/1019_1.m3u8?key=txiptv
湖南卫视,http://iptvcyp.top:9901/tsfile/live/1020_1.m3u8?key=txiptv
湖南娱乐,http://iptvcyp.top:9901/tsfile/live/1021_1.m3u8?key=txiptv
湖南电视剧,http://iptvcyp.top:9901/tsfile/live/1022_1.m3u8?key=txiptv
湖南电影,http://iptvcyp.top:9901/tsfile/live/1023_1.m3u8?key=txiptv
湖南经视,http://iptvcyp.top:9901/tsfile/live/1024_1.m3u8?key=txiptv
湖南都市,http://iptvcyp.top:9901/tsfile/live/1025_1.m3u8?key=txiptv
湖南教育,http://iptvcyp.top:9901/tsfile/live/1026_1.m3u8?key=txiptv
湖南国际,http://iptvcyp.top:9901/tsfile/live/1027_1.m3u8?key=txiptv
湖南金鹰纪实,http://iptvcyp.top:9901/tsfile/live/1028_1.m3u8?key=txiptv
湖南公共频道,http://iptvcyp.top:9901/tsfile/live/1029_1.m3u8?key=txiptv
湖南电影,http://iptvcyp.top:9901/tsfile/live/1030_1.m3u8?key=txiptv
湖南都市,http://iptvcyp.top:9901/tsfile/live/1031_1.m3u8?key=txiptv
湖南娱乐,http://iptvcyp.top:9901/tsfile/live/1032_1.m3u8?key=txiptv
CHC高清电影,http://iptvcyp.top:9901/tsfile/live/1033_1.m3u8?key=txiptv
CHC动作电影,http://iptvcyp.top:9901/tsfile/live/1034_1.m3u8?key=txiptv
