湖南芒果,#genre#
湖南经视,http://phonews.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz1jYjVmNTg1NGZhZGQyMWM0MDBjZWQ4MmUyNTY3YzBhOSZlcz0xNzE3MTY4OTIwJnV1aWQ9NmY0YjI1MWY3YTI4MDg4YWZjYzFiZGE5MjZjYWUxZWMtNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9d3NfcGhvbmUz/HNJSMPP360.m3u8
湖南都市,http://phoneal.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz01YTVlMWYwYWMyNDVmOTUyNTE3MWQyYmI5ODJmNGIwNyZlcz0xNzE3MTY4OTIxJnV1aWQ9ZGVmZWUxYTYwODMwYTlkZjZkMzVmNTNlYzZkZGIzOTUtNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9YWxfcGhvbmUz/HNDSMPP360.m3u8
湖南电视剧,http://phoneal.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz01NGQ3MmE3ODgxMzkwMWQwMjk4NjZjNzQxODhkZDRlYSZlcz0xNzE3MTY4OTIxJnV1aWQ9M2YzYjFhZGIzZjYwZjBmZWQ2NDEyOTViYmUwNTI0NjctNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9YWxfcGhvbmUz/HNDSJMPP360.m3u8
湖南电影,http://phoneal.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz02ZWZjNTlhZmNiYzlkZWU4MzRmZmE0MmI0ZjY5YzgwZiZlcz0xNzE3MTY4OTIyJnV1aWQ9YTk4MjIyNzg1YzA5Yjk0ZTJmNGNjNGVjOTI3NjY1ZTYtNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9YWxfcGhvbmUz/HNDYMPP360.m3u8
湖南爱晚,http://phoneal.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz1mMGQzYzI5MTk0M2M3ZmZlZDdjM2I3ZjI3ODNhMmIzZCZlcz0xNzE3MTY4OTIyJnV1aWQ9MDEyMzQ2NDAzYjMzYjM1NzhlOTM4MjVhNGE0MjBiNzItNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9YWxfcGhvbmUz/HNGGMPP360.m3u8
湖南国际,http://phoneal.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz0xMGQyMzMwNmJmYTcwNzE1MzI0NzI2NDY2ZmUyNGY3MiZlcz0xNzE3MTY4OTIzJnV1aWQ9M2I3ZTNiODYwNjMyZDNkNmQwYTIxYzEzMDE1MTNkNGItNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9YWxfcGhvbmUz/HNGJMPP360.m3u8
湖南娱乐,http://phonews.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz00NTNlYzJhNzcwNDdhZGUzNjU5ZWEzOGM5MzE2MDMxZCZlcz0xNzE3MTY4OTIzJnV1aWQ9MGJjMDg4YmQ1NTM4N2VlZDQxZDA5ZGRiZDIwYzg4ZTItNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9d3NfcGhvbmUz/HNYLMPP360.m3u8
快乐购,http://phonews.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz0xODNmMWE1YmEzZWY0YmU1MjBjOGNkMjViN2JkMzU2NCZlcz0xNzE3MTY4OTI0JnV1aWQ9ZWMxZDZmMWQ0ZGJkOWIyYzJhYzUzYTRjYmIxNzdiZGUtNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9d3NfcGhvbmUz/KLGMPP360.m3u8
茶频道,http://phoneal.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz0wZTY3ZGYyNzljZjU4NjljNWMzNGViMmU1MGIzMjVjNCZlcz0xNzE3MTY4OTI0JnV1aWQ9NWUwMWExYzZiY2U2NmZjYWYwMDZkODk1NmZiMzc4NWItNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9YWxfcGhvbmUz/CPDMPP360.m3u8
金鹰纪实,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyMC4zNy4xMjEuMjA5JnFpZD0mcz0zY2JiOWFkYWMxNGM3MzAzY2M5ZDE0MDc5YTBmNDY3ZSZlcz0xNzE3MTY4OTI1JnV1aWQ9ODhiOGNmMDE2Y2M0NmQ0OTlmNTkxY2QzYjM5OTU3OTYtNzgyNTc5ZDEmdj0yJmFzPTAmY2RuZXhfaWQ9aHdfcGhvbmU,/JYJSMPP360.m3u8
