电影精选,#genre#
暴走财神5,https://yzzy.play-cdn19.com/20240214/19830_4d7ffe25/index.m3u8
动物园里有什么,https://yzzy.play-cdn19.com/20240212/19592_cdf0c9a2/index.m3u8
年会不能停,https://yzzy.play-cdn19.com/20240213/19788_da07138c/index.m3u8
缉恶,https://yzzy1.play-cdn1.com/20240212/16107_ce5c69e6/index.m3u8x
我是哪吒01,https://yzzy.play-cdn17.com/20230820/16582_71124c66/index.m3u8
我是哪吒02,https://yzzy.play-cdn19.com/20231217/10640_30f16a7b/index.m3u8
长安十万里,https://yzzy1.play-cdn1.com/20230928/1059_b74249f1/index.m3u8
非诚勿扰03,https://yzzy1.play-cdn20.com/20240210/16640_403958bf/index.m3u8
孤注一掷,https://yzzy.play-cdn19.com/20240131/18306_ab283c7e/index.m3u8
目中无人01,https://yzzy.play-cdn5.com/20220603/21612_3d196e75/index.m3u8
目中无人02,https://yzzy1.play-cdn1.com/20240210/15952_004b2a47/index.m3u8
长津湖（2021中）,https://cdn2.yzzy-online.com/20220325/1969_ba918397/index.m3u8
长津湖之水门桥（2022中）,https://cdn17.yzzy-online.com/20230817/16230_2dbddb92/index.m3u8
志愿军（2023中）,https://cdn20.vip-vip-yzzy.com/20231201/6580_7c49d136/index.m3u8
流浪地球（2021中）,https://cdn17.yzzy-online.com/20230721/11910_09310882/index.m3u8
流浪地球2（2023中）,https://cdn16.yzzy-online.com/20230414/7_d0737c10/index.m3u8
封神第一部：朝歌风云（2023中）,https://cdn1.yzzy-online.com/20230921/140_a3fbd0f1/index.m3u8
阿凡达（2009美）,https://cdn8.yzzy-online.com/20221003/22846_3c145544/index.m3u8
阿凡达-水之道（2023美）,https://cdn14.yzzy-online.com/20230323/16241_cbb88fb9/index.m3u8
拯救嫌疑人,https://vip.ffzy-online6.com/20231221/23620_389fb1f6/index.m3u8
寻龙诀：生死门,https://vip.ffzy-online6.com/20231209/22827_f58f9021/index.m3u8
我爸没说的那件事,https://vip.ffzy-online6.com/20231220/23538_cc485931/index.m3u8
堕落花之鬼打墙,https://v.cdnlz4.com/20231218/26238_34c3c241/index.m3u8
身份不详,https://vip.ffzy-online6.com/20231126/22132_f28d5f3e/index.m3u8
第八个嫌疑人,https://vip.ffzy-online6.com/20231103/20854_4d9c1cff/index.m3u8
巨齿鲨2：深渊,https://hnzy.bfvvs.com/play/DdwvJZ8b/index.m3u8
消失的她,https://vip.ffzy-online6.com/20230825/17362_3af41c80/index.m3u8
别叫我“赌神”,https://vip.ffzy-online6.com/20230719/15178_774ae68b/index.m3u8
夺宝奇兵5：命运转盘,https://vip.ffzy-online6.com/20230829/17578_60be3a4e/index.m3u8
八角笼中,https://v.cdnlz12.com/20230908/10067_41c719d6/index.m3u8
封神第一部：朝歌风云,https://vip.ffzyread2.com/20230921/14522_a6bcd181/index.m3u8
惊天营救2,https://vip.ffzyread1.com/20230616/13945_bfb3b392/index.m3u8
前任4：英年早婚,https://vip.ffzy-online6.com/20231207/22697_c067d4cf/index.m3u8
变形金刚：超能勇士崛起,https://vip.ffzyread1.com/20230711/15118_655c0059/index.m3u8
满江红,https://vip.lz-cdn4.com/20230428/25694_3bf6ffb6/index.m3u8
莫斯科行动,https://hnzy.bfvvs.com/play/PdyvvZze/index.m3u8
好像也没那么热血沸腾,https://vip.ffzy-online6.com/20231213/23025_7dc990ce/index.m3u8
流浪地球2,https://cdn10.yzzy-tv-cdn.com/20230124/23895_527527bc/index.m3u8
两万种蜜蜂,https://s8.fsvod1.com/20230701/pQobQIY4/index.m3u8
绝地追击,https://vip.ffzy-online6.com/20230923/18977_8858015e/2000k/hls/index.m3u8
明日战记 粤语,https://vip.lzcdn2.com/20221130/22820_09be4d48/index.m3u8

历年春晚,#genre#
春晚1983,https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5MTRfNDAzMDAxOTlfNjYyNzMxNjcwMjBfMF8z_b_Beb3bda599f76c60c463c433ca7460153.mp4
春晚1984,https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
春晚1985,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
春晚1986,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDRfNDAzMDAxOTlfNjYyNzMyNTU0OTRfMF8z_b_B24f7d19f1132fa5d7f502f8377ad5567.mp4
春晚1987,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDhfNDAzMDAxOTlfNjYyNzMyNjMyMDNfMF8z_b_B570493ed8f7200d4013a66b2d21b2de9.mp4
春晚1988,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTJfNDAzMDAxOTlfNjYyNzMyNjkxNjBfMF8z_b_B8c835b83a92d25bde81ba22c5cd9521e.mp4
春晚1989,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
春晚1990,https://cdn8.yzzy-online.com/20220704/597_e0d90c37/1000k/hls/index.m3u8
春晚1991,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjI2MTVfNDAzMDAxOTlfNjYyNzYwNjUxNjVfMF8z_b_B8feb7b85888678d71bf37a259c6850f6.mp4
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYwODJfMF8z_b_B647d10e431b4cc5e48e6c77347d69021.mp4
春晚1994,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxMjNfMF8z_b_B3dde97f36273f04403d4dc5eec611a35.mp4
春晚1995,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQwNzVfMF8z_b_B811c0dec6b9a3d3074a18522c185010a.mp4
春晚1996,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
春晚1999,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQxNTRfMF8z_b_B0b5e52bc003285ef66ec0cbb2be08556.mp4
春晚2000,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxMTNfMF8z_b_Bdddf4e7ef0ff6cfd477857bb40e78419.mp4
春晚2001,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyMDFfMF8z_b_B70592cb7c4054e9cabb675e849bbf4bd.mp4
春晚2002,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxNDdfMF8z_b_Ba6271d10b7e6cfae83759033a091f257.mp4
春晚2003,https://alimov2.a.kwimgs.com/upic/2023/01/14/23/BMjAyMzAxMTQyMzQxNDdfNDAzMDAxOTlfOTM2MTU0MTk1NDFfMF8z_b_B182749d2cd2ea9323639254af385f24b.mp4
